Number of Schools by Management and Year of Establishment                              Report Id : 1001,,,,,,,,
Report Generated By NIC,,,,Report Export Date :06 Mar 2025 09:49 PM,,,,
Academic Year:undefined,,State Name :all,,District Name :none,,Block Name :none,,
,,Present Management of School,,,,,,
Location,Establishment Year,State Govt,Central Govt,Govt Aided,Private,Others,Total School,Cumulative Total School
Andaman & Nicobar Islands,2019,2,0,0,0,0,2,2
Andaman & Nicobar Islands,2017,1,1,0,1,0,3,3
Andaman & Nicobar Islands,2016,2,0,0,3,0,5,5
Andaman & Nicobar Islands,2015,1,0,0,2,0,3,3
Andaman & Nicobar Islands,2014,1,0,0,1,0,2,2
Andaman & Nicobar Islands,2013,0,0,0,1,0,1,1
Andaman & Nicobar Islands,2012,13,0,0,4,0,17,17
Andaman & Nicobar Islands,2011,11,0,0,2,0,13,13
Andaman & Nicobar Islands,2010,1,0,0,1,0,2,2
Andaman & Nicobar Islands,2009,0,0,0,4,0,4,4
Andaman & Nicobar Islands,2008,0,0,0,1,0,1,1
Andaman & Nicobar Islands,2007,2,0,0,3,0,5,5
Andaman & Nicobar Islands,2006,1,0,0,5,0,6,6
Andaman & Nicobar Islands,2005,4,0,0,2,0,6,6
Andaman & Nicobar Islands,2004,1,0,0,2,0,3,3
Andaman & Nicobar Islands,2003,6,0,0,1,0,7,7
Andaman & Nicobar Islands,2002,4,0,0,5,0,9,9
Andaman & Nicobar Islands,2001,1,0,0,1,0,2,2
Andaman & Nicobar Islands,2000,1,0,0,3,0,4,4
Andaman & Nicobar Islands,1999,11,0,0,4,0,15,15
Andaman & Nicobar Islands,1998,16,0,0,0,0,16,16
Andaman & Nicobar Islands,1997,4,0,0,1,0,5,5
Andaman & Nicobar Islands,1996,0,0,0,1,0,1,1
Andaman & Nicobar Islands,1995,4,0,0,1,0,5,5
Andaman & Nicobar Islands,1994,1,0,0,1,0,2,2
Andaman & Nicobar Islands,1993,2,0,0,2,0,4,4
Andaman & Nicobar Islands,1992,2,0,0,4,0,6,6
Andaman & Nicobar Islands,1991,4,0,0,1,0,5,5
Andaman & Nicobar Islands,1990,2,0,0,0,0,2,2
Andaman & Nicobar Islands,1989,8,0,0,1,0,9,9
Andaman & Nicobar Islands,1988,4,0,0,1,0,5,5
Andaman & Nicobar Islands,1987,4,2,0,1,0,7,7
Andaman & Nicobar Islands,1986,5,1,0,0,0,6,6
Andaman & Nicobar Islands,1985,3,0,0,3,0,6,6
Andaman & Nicobar Islands,1984,7,0,0,1,0,8,8
Andaman & Nicobar Islands,1983,3,0,0,0,0,3,3
Andaman & Nicobar Islands,1982,4,0,0,0,0,4,4
Andaman & Nicobar Islands,1981,4,0,0,0,0,4,4
Andaman & Nicobar Islands,1980,4,0,0,0,0,4,4
Andaman & Nicobar Islands,1979,2,0,0,0,0,2,2
Andaman & Nicobar Islands,1978,7,0,0,2,0,9,9
Andaman & Nicobar Islands,1977,2,0,1,1,0,4,4
Andaman & Nicobar Islands,1976,5,0,0,0,0,5,5
Andaman & Nicobar Islands,1975,8,0,0,0,0,8,8
Andaman & Nicobar Islands,1974,7,0,0,0,0,7,7
Andaman & Nicobar Islands,1973,8,0,0,1,0,9,9
Andaman & Nicobar Islands,1972,8,0,0,0,0,8,8
Andaman & Nicobar Islands,1971,4,0,0,0,0,4,4
Andaman & Nicobar Islands,1970,4,0,0,0,0,4,4
Andaman & Nicobar Islands,1969,7,0,0,1,0,8,8
Andaman & Nicobar Islands,1968,5,0,0,1,0,6,6
Andaman & Nicobar Islands,1967,8,0,0,0,0,8,8
Andaman & Nicobar Islands,1966,0,1,0,1,0,2,2
Andaman & Nicobar Islands,1965,3,0,0,0,0,3,3
Andaman & Nicobar Islands,1964,5,0,0,0,0,5,5
Andaman & Nicobar Islands,1963,9,0,0,0,0,9,9
Andaman & Nicobar Islands,1962,13,0,0,0,0,13,13
Andaman & Nicobar Islands,1961,16,0,0,1,0,17,17
Andaman & Nicobar Islands,1960,10,0,0,0,0,10,10
Andaman & Nicobar Islands,1959,15,0,0,0,0,15,15
Andaman & Nicobar Islands,1958,11,0,1,0,0,12,12
Andaman & Nicobar Islands,1957,6,0,0,0,0,6,6
Andaman & Nicobar Islands,1956,3,0,0,0,0,3,3
Andaman & Nicobar Islands,1955,2,0,0,0,0,2,2
Andaman & Nicobar Islands,1954,6,0,0,0,0,6,6
Andaman & Nicobar Islands,1953,4,0,0,0,0,4,4
Andaman & Nicobar Islands,1952,4,0,0,0,0,4,4
Andaman & Nicobar Islands,1951,1,0,0,0,0,1,1
Andaman & Nicobar Islands,1950,2,0,0,0,0,2,2
Andaman & Nicobar Islands,1949,2,0,0,0,0,2,2
Andaman & Nicobar Islands,1948,2,0,0,0,0,2,2
Andaman & Nicobar Islands,1946,2,0,0,0,0,2,2
Andaman & Nicobar Islands,1944,1,0,0,0,0,1,1
Andaman & Nicobar Islands,1928,1,0,0,0,0,1,1
Andhra Pradesh,2022,7,0,0,5,0,12,12
Andhra Pradesh,2021,53,0,0,139,0,192,192
Andhra Pradesh,2020,49,0,0,223,0,272,272
Andhra Pradesh,2019,113,2,2,438,11,566,566
Andhra Pradesh,2018,114,0,0,545,20,679,679
Andhra Pradesh,2017,249,2,0,604,29,884,884
Andhra Pradesh,2016,199,1,1,601,24,826,826
Andhra Pradesh,2015,52,0,0,507,6,565,565
Andhra Pradesh,2014,94,3,0,388,17,502,502
Andhra Pradesh,2013,285,0,3,458,6,752,752
Andhra Pradesh,2012,261,0,0,591,9,861,861
Andhra Pradesh,2011,219,0,0,624,6,849,849
Andhra Pradesh,2010,132,1,0,925,12,1070,1070
Andhra Pradesh,2009,78,2,1,660,7,748,748
Andhra Pradesh,2008,128,0,0,436,9,573,573
Andhra Pradesh,2007,200,5,0,636,7,848,848
Andhra Pradesh,2006,223,0,0,464,8,695,695
Andhra Pradesh,2005,407,0,0,641,5,1053,1053
Andhra Pradesh,2004,512,0,3,525,4,1044,1044
Andhra Pradesh,2003,463,0,1,414,7,885,885
Andhra Pradesh,2002,799,0,1,505,1,1306,1306
Andhra Pradesh,2001,1975,0,1,532,1,2509,2509
Andhra Pradesh,2000,475,0,1,366,6,848,848
Andhra Pradesh,1999,695,2,1,264,0,962,962
Andhra Pradesh,1998,1999,0,3,287,2,2291,2291
Andhra Pradesh,1997,653,1,4,382,0,1040,1040
Andhra Pradesh,1996,354,0,2,307,0,663,663
Andhra Pradesh,1995,203,0,2,259,1,465,465
Andhra Pradesh,1994,216,2,4,318,2,542,542
Andhra Pradesh,1993,246,1,2,261,0,510,510
Andhra Pradesh,1992,326,1,5,246,0,578,578
Andhra Pradesh,1991,324,0,2,185,0,511,511
Andhra Pradesh,1990,341,1,2,143,0,487,487
Andhra Pradesh,1989,314,1,1,168,0,484,484
Andhra Pradesh,1988,919,5,1,108,3,1036,1036
Andhra Pradesh,1987,322,10,3,97,1,433,433
Andhra Pradesh,1986,1633,3,2,100,0,1738,1738
Andhra Pradesh,1985,967,1,19,89,0,1076,1076
Andhra Pradesh,1984,463,2,14,75,1,555,555
Andhra Pradesh,1983,382,2,24,75,0,483,483
Andhra Pradesh,1982,629,0,34,79,0,742,742
Andhra Pradesh,1981,408,0,33,37,0,478,478
Andhra Pradesh,1980,420,1,18,49,0,488,488
Andhra Pradesh,1979,514,1,12,56,2,585,585
Andhra Pradesh,1978,534,0,11,23,0,568,568
Andhra Pradesh,1977,630,0,9,23,0,662,662
Andhra Pradesh,1976,533,0,23,14,0,570,570
Andhra Pradesh,1975,366,0,31,20,1,418,418
Andhra Pradesh,1974,364,1,34,22,0,421,421
Andhra Pradesh,1973,237,1,21,17,0,276,276
Andhra Pradesh,1972,421,0,53,14,0,488,488
Andhra Pradesh,1971,294,0,28,13,1,336,336
Andhra Pradesh,1970,319,0,14,10,0,343,343
Andhra Pradesh,1969,438,0,44,13,0,495,495
Andhra Pradesh,1968,564,0,30,10,0,604,604
Andhra Pradesh,1967,336,0,30,2,0,368,368
Andhra Pradesh,1966,438,1,21,8,0,468,468
Andhra Pradesh,1965,452,1,27,9,0,489,489
Andhra Pradesh,1964,557,0,30,6,0,593,593
Andhra Pradesh,1963,436,0,13,5,0,454,454
Andhra Pradesh,1962,912,1,19,5,0,937,937
Andhra Pradesh,1961,933,1,16,2,0,952,952
Andhra Pradesh,1960,780,0,13,1,0,794,794
Andhra Pradesh,1959,848,0,19,0,0,867,867
Andhra Pradesh,1958,641,0,28,5,0,674,674
Andhra Pradesh,1957,458,0,16,5,1,480,480
Andhra Pradesh,1956,566,0,28,0,0,594,594
Andhra Pradesh,1955,614,1,16,0,0,631,631
Andhra Pradesh,1954,451,0,24,1,0,476,476
Andhra Pradesh,1953,378,0,24,0,0,402,402
Andhra Pradesh,1952,478,0,26,0,0,504,504
Andhra Pradesh,1951,416,0,17,1,0,434,434
Andhra Pradesh,1950,450,1,13,0,0,464,464
Andhra Pradesh,1949,496,0,23,0,0,519,519
Andhra Pradesh,1948,486,0,30,0,0,516,516
Andhra Pradesh,1947,310,0,28,0,0,338,338
Andhra Pradesh,1946,314,0,20,1,0,335,335
Andhra Pradesh,1945,274,0,19,0,0,293,293
Andhra Pradesh,1944,240,0,16,0,0,256,256
Andhra Pradesh,1943,138,0,5,0,0,143,143
Andhra Pradesh,1942,205,0,9,0,0,214,214
Andhra Pradesh,1941,458,0,21,0,0,479,479
Andhra Pradesh,1940,846,0,52,0,0,898,898
Andhra Pradesh,1939,687,0,27,0,0,714,714
Andhra Pradesh,1938,580,0,36,0,0,616,616
Andhra Pradesh,1937,221,0,15,0,0,236,236
Andhra Pradesh,1936,235,0,20,0,0,255,255
Andhra Pradesh,1935,273,0,10,1,0,284,284
Andhra Pradesh,1934,133,0,5,1,0,139,139
Andhra Pradesh,1933,197,0,7,0,0,204,204
Andhra Pradesh,1932,264,0,16,1,0,281,281
Andhra Pradesh,1931,206,0,6,2,0,214,214
Andhra Pradesh,1930,306,0,15,0,0,321,321
Andhra Pradesh,1929,301,0,10,0,0,311,311
Andhra Pradesh,1928,264,1,21,2,0,288,288
Andhra Pradesh,1927,362,0,15,0,0,377,377
Andhra Pradesh,1926,290,0,11,0,1,302,302
Andhra Pradesh,1925,298,0,20,0,0,318,318
Andhra Pradesh,1924,212,0,8,0,0,220,220
Andhra Pradesh,1923,227,0,7,0,0,234,234
Andhra Pradesh,1922,296,0,8,0,0,304,304
Andhra Pradesh,1921,147,0,13,1,0,161,161
Andhra Pradesh,1920,116,0,13,0,0,129,129
Andhra Pradesh,1919,87,0,7,0,0,94,94
Andhra Pradesh,1918,131,0,9,0,0,140,140
Andhra Pradesh,1917,82,0,15,1,0,98,98
Andhra Pradesh,1916,87,0,9,0,0,96,96
Andhra Pradesh,1915,95,0,10,0,0,105,105
Andhra Pradesh,1914,78,0,4,0,0,82,82
Andhra Pradesh,1913,109,0,3,0,0,112,112
Andhra Pradesh,1912,81,0,6,0,0,87,87
Andhra Pradesh,1911,37,0,11,0,0,48,48
Andhra Pradesh,1910,43,0,3,0,0,46,46
Andhra Pradesh,1909,48,0,9,0,0,57,57
Andhra Pradesh,1908,114,0,9,0,0,123,123
Andhra Pradesh,1907,55,0,9,0,0,64,64
Andhra Pradesh,1906,30,0,1,0,0,31,31
Andhra Pradesh,1905,36,0,1,0,0,37,37
Andhra Pradesh,1904,25,0,3,0,0,28,28
Andhra Pradesh,1903,27,0,1,0,0,28,28
Andhra Pradesh,1902,26,0,1,0,0,27,27
Andhra Pradesh,1901,29,0,2,0,0,31,31
Andhra Pradesh,1900,31,0,3,0,0,34,34
Andhra Pradesh,1899,3,0,0,1,0,4,4
Andhra Pradesh,1898,6,0,3,0,0,9,9
Andhra Pradesh,1897,7,0,2,0,0,9,9
Andhra Pradesh,1896,15,0,1,0,0,16,16
Andhra Pradesh,1895,39,0,0,0,0,39,39
Andhra Pradesh,1894,48,0,1,0,0,49,49
Andhra Pradesh,1893,4,0,2,1,0,7,7
Andhra Pradesh,1892,8,0,2,0,0,10,10
Andhra Pradesh,1891,3,0,1,0,0,4,4
Andhra Pradesh,1890,4,0,2,0,0,6,6
Andhra Pradesh,1889,2,0,1,0,0,3,3
Andhra Pradesh,1888,4,0,1,0,0,5,5
Andhra Pradesh,1886,6,0,1,0,0,7,7
Andhra Pradesh,1885,7,0,0,1,0,8,8
Andhra Pradesh,1884,4,0,1,0,0,5,5
Andhra Pradesh,1883,1,0,0,0,0,1,1
Andhra Pradesh,1882,0,0,3,1,0,4,4
Andhra Pradesh,1881,1,0,1,0,0,2,2
Andhra Pradesh,1880,4,0,3,0,0,7,7
Andhra Pradesh,1878,1,0,2,0,0,3,3
Andhra Pradesh,1875,2,0,0,0,0,2,2
Andhra Pradesh,1874,1,0,2,0,0,3,3
Andhra Pradesh,1870,2,0,0,0,0,2,2
Andhra Pradesh,1868,1,0,0,0,0,1,1
Andhra Pradesh,1862,1,0,0,0,0,1,1
Andhra Pradesh,1860,0,0,3,1,0,4,4
Andhra Pradesh,1859,1,0,0,0,0,1,1
Andhra Pradesh,1857,2,0,0,0,0,2,2
Andhra Pradesh,1856,3,0,0,0,0,3,3
Andhra Pradesh,1855,0,0,1,0,0,1,1
Andhra Pradesh,1854,1,0,0,0,0,1,1
Andhra Pradesh,1853,1,0,0,0,0,1,1
Andhra Pradesh,1852,1,0,2,0,0,3,3
Andhra Pradesh,1847,0,0,2,1,0,3,3
Andhra Pradesh,1844,1,0,0,0,0,1,1
Andhra Pradesh,1843,0,0,1,0,0,1,1
Andhra Pradesh,1842,0,0,1,0,0,1,1
Andhra Pradesh,1836,0,0,1,0,0,1,1
Andhra Pradesh,1831,1,0,0,0,0,1,1
Andhra Pradesh,1801,1,0,0,0,0,1,1
Andhra Pradesh,1800,0,0,0,1,0,1,1
Arunachal Pradesh,2021,2,0,0,2,0,4,4
Arunachal Pradesh,2020,6,2,0,0,0,8,8
Arunachal Pradesh,2019,19,1,3,1,0,24,24
Arunachal Pradesh,2018,10,1,2,8,5,26,26
Arunachal Pradesh,2017,8,1,0,15,2,26,26
Arunachal Pradesh,2016,24,0,2,20,11,57,57
Arunachal Pradesh,2015,40,1,2,18,4,65,65
Arunachal Pradesh,2014,85,0,0,19,3,107,107
Arunachal Pradesh,2013,55,0,0,18,4,77,77
Arunachal Pradesh,2012,64,0,0,25,2,91,91
Arunachal Pradesh,2011,96,1,2,29,4,132,132
Arunachal Pradesh,2010,71,0,3,23,1,98,98
Arunachal Pradesh,2009,113,0,3,24,1,141,141
Arunachal Pradesh,2008,172,0,1,24,2,199,199
Arunachal Pradesh,2007,151,1,1,21,1,175,175
Arunachal Pradesh,2006,159,4,2,15,2,182,182
Arunachal Pradesh,2005,116,2,2,22,1,143,143
Arunachal Pradesh,2004,51,3,2,21,1,78,78
Arunachal Pradesh,2003,68,2,1,18,0,89,89
Arunachal Pradesh,2002,11,0,2,21,0,34,34
Arunachal Pradesh,2001,15,1,0,24,0,40,40
Arunachal Pradesh,2000,13,0,2,16,1,32,32
Arunachal Pradesh,1999,25,0,1,22,0,48,48
Arunachal Pradesh,1998,23,1,2,16,0,42,42
Arunachal Pradesh,1997,10,0,3,13,0,26,26
Arunachal Pradesh,1996,25,3,0,7,0,35,35
Arunachal Pradesh,1995,22,1,1,15,0,39,39
Arunachal Pradesh,1994,44,1,1,6,0,52,52
Arunachal Pradesh,1993,39,0,0,6,0,45,45
Arunachal Pradesh,1992,48,0,0,8,0,56,56
Arunachal Pradesh,1991,28,0,0,7,0,35,35
Arunachal Pradesh,1990,29,0,1,1,1,32,32
Arunachal Pradesh,1989,62,0,2,2,0,66,66
Arunachal Pradesh,1988,36,2,0,1,0,39,39
Arunachal Pradesh,1987,45,3,2,5,0,55,55
Arunachal Pradesh,1986,60,0,1,2,0,63,63
Arunachal Pradesh,1985,42,0,0,0,0,42,42
Arunachal Pradesh,1984,33,2,1,0,0,36,36
Arunachal Pradesh,1983,30,1,0,0,0,31,31
Arunachal Pradesh,1982,33,0,2,0,0,35,35
Arunachal Pradesh,1981,44,0,4,2,0,50,50
Arunachal Pradesh,1980,33,0,2,0,0,35,35
Arunachal Pradesh,1979,80,0,2,1,0,83,83
Arunachal Pradesh,1978,54,0,1,2,0,57,57
Arunachal Pradesh,1977,50,0,8,1,0,59,59
Arunachal Pradesh,1976,46,0,0,0,0,46,46
Arunachal Pradesh,1975,79,0,0,2,0,81,81
Arunachal Pradesh,1974,46,1,0,0,0,47,47
Arunachal Pradesh,1973,20,1,1,0,0,22,22
Arunachal Pradesh,1972,42,1,1,0,0,44,44
Arunachal Pradesh,1971,25,0,0,0,0,25,25
Arunachal Pradesh,1970,20,0,0,0,0,20,20
Arunachal Pradesh,1969,41,0,1,0,0,42,42
Arunachal Pradesh,1968,11,0,0,0,0,11,11
Arunachal Pradesh,1967,52,0,0,0,0,52,52
Arunachal Pradesh,1966,42,0,1,0,0,43,43
Arunachal Pradesh,1965,47,0,0,0,0,47,47
Arunachal Pradesh,1964,42,0,0,0,1,43,43
Arunachal Pradesh,1963,21,1,0,0,0,22,22
Arunachal Pradesh,1962,25,0,0,0,0,25,25
Arunachal Pradesh,1961,13,0,0,0,0,13,13
Arunachal Pradesh,1960,8,0,0,0,0,8,8
Arunachal Pradesh,1959,7,0,0,0,0,7,7
Arunachal Pradesh,1958,15,0,0,0,0,15,15
Arunachal Pradesh,1957,5,0,0,0,0,5,5
Arunachal Pradesh,1956,7,0,0,0,0,7,7
Arunachal Pradesh,1955,4,0,0,0,0,4,4
Arunachal Pradesh,1954,11,0,0,0,0,11,11
Arunachal Pradesh,1953,23,0,0,0,0,23,23
Arunachal Pradesh,1952,11,0,0,0,0,11,11
Arunachal Pradesh,1951,2,0,0,0,0,2,2
Arunachal Pradesh,1950,4,0,0,0,0,4,4
Arunachal Pradesh,1949,5,0,0,0,0,5,5
Arunachal Pradesh,1948,16,0,0,0,0,16,16
Arunachal Pradesh,1947,6,0,0,0,0,6,6
Arunachal Pradesh,1946,3,0,0,0,0,3,3
Arunachal Pradesh,1941,1,0,0,0,0,1,1
Arunachal Pradesh,1940,1,0,0,0,0,1,1
Arunachal Pradesh,1934,1,0,0,0,0,1,1
Arunachal Pradesh,1923,1,0,0,0,0,1,1
Assam,2022,28,0,0,0,0,28,28
Assam,2021,13,0,0,2,0,15,15
Assam,2020,14,0,0,7,0,21,21
Assam,2019,2,2,0,30,0,34,34
Assam,2018,18,0,0,100,0,118,118
Assam,2017,3,1,0,184,1,189,189
Assam,2016,2,0,0,283,1,286,286
Assam,2015,13,0,1,281,3,298,298
Assam,2014,14,0,0,216,2,232,232
Assam,2013,26,0,0,189,2,217,217
Assam,2012,31,1,2,211,4,249,249
Assam,2011,26,1,1,176,3,207,207
Assam,2010,165,3,3,281,8,460,460
Assam,2009,114,1,6,255,8,384,384
Assam,2008,32,0,9,246,46,333,333
Assam,2007,37,3,4,231,8,283,283
Assam,2006,989,5,13,233,40,1280,1280
Assam,2005,97,0,118,304,136,655,655
Assam,2004,2025,1,79,227,111,2443,2443
Assam,2003,970,6,64,283,75,1398,1398
Assam,2002,30,0,39,216,56,341,341
Assam,2001,32,2,47,195,76,352,352
Assam,2000,37,0,46,174,99,356,356
Assam,1999,166,0,63,132,84,445,445
Assam,1998,77,0,90,132,87,386,386
Assam,1997,59,3,142,138,102,444,444
Assam,1996,267,1,216,136,151,771,771
Assam,1995,182,10,261,129,159,741,741
Assam,1994,255,5,339,141,200,940,940
Assam,1993,360,1,377,104,263,1105,1105
Assam,1992,312,2,345,76,174,909,909
Assam,1991,373,0,236,58,156,823,823
Assam,1990,572,0,253,60,544,1429,1429
Assam,1989,467,1,168,37,193,866,866
Assam,1988,510,3,143,37,176,869,869
Assam,1987,694,3,109,28,180,1014,1014
Assam,1986,1431,5,259,26,342,2063,2063
Assam,1985,1221,1,155,33,342,1752,1752
Assam,1984,911,4,72,30,230,1247,1247
Assam,1983,861,1,28,17,230,1137,1137
Assam,1982,1006,2,28,26,188,1250,1250
Assam,1981,813,4,30,14,155,1016,1016
Assam,1980,995,1,20,22,293,1331,1331
Assam,1979,1389,2,14,22,257,1684,1684
Assam,1978,1927,1,13,14,279,2234,2234
Assam,1977,1199,1,3,11,110,1324,1324
Assam,1976,905,3,4,5,34,951,951
Assam,1975,1369,0,7,11,22,1409,1409
Assam,1974,740,2,5,11,2,760,760
Assam,1973,645,2,2,5,6,660,660
Assam,1972,941,1,3,6,3,954,954
Assam,1971,689,2,1,7,7,706,706
Assam,1970,642,0,2,3,3,650,650
Assam,1969,425,0,1,7,1,434,434
Assam,1968,506,0,3,3,0,512,512
Assam,1967,406,0,3,3,1,413,413
Assam,1966,321,2,2,5,2,332,332
Assam,1965,611,0,2,7,1,621,621
Assam,1964,704,1,0,2,1,708,708
Assam,1963,510,0,0,2,1,513,513
Assam,1962,871,1,1,2,0,875,875
Assam,1961,730,0,1,1,0,732,732
Assam,1960,974,1,0,4,1,980,980
Assam,1959,554,2,1,1,1,559,559
Assam,1958,773,0,1,1,0,775,775
Assam,1957,480,0,1,2,0,483,483
Assam,1956,594,0,1,1,1,597,597
Assam,1955,379,0,0,0,1,380,380
Assam,1954,517,0,1,1,3,522,522
Assam,1953,451,0,0,0,0,451,451
Assam,1952,686,0,0,1,1,688,688
Assam,1951,463,0,0,2,1,466,466
Assam,1950,566,0,0,1,0,567,567
Assam,1949,559,0,0,0,2,561,561
Assam,1948,690,2,0,2,1,695,695
Assam,1947,513,0,0,0,1,514,514
Assam,1946,407,0,0,0,0,407,407
Assam,1945,455,0,0,0,0,455,455
Assam,1944,169,0,0,0,0,169,169
Assam,1943,178,0,0,0,0,178,178
Assam,1942,245,0,0,0,0,245,245
Assam,1941,129,0,0,0,0,129,129
Assam,1940,204,0,0,0,0,204,204
Assam,1939,199,0,0,1,0,200,200
Assam,1938,235,0,0,0,0,235,235
Assam,1937,194,0,0,0,0,194,194
Assam,1936,199,0,2,1,2,204,204
Assam,1935,273,0,0,1,2,276,276
Assam,1934,132,0,0,0,0,132,132
Assam,1933,83,0,0,0,0,83,83
Assam,1932,115,0,0,0,0,115,115
Assam,1931,68,0,0,1,0,69,69
Assam,1930,159,0,0,1,0,160,160
Assam,1929,86,0,0,0,0,86,86
Assam,1928,114,0,0,0,0,114,114
Assam,1927,87,0,0,0,0,87,87
Assam,1926,81,0,0,0,0,81,81
Assam,1925,70,0,0,0,0,70,70
Assam,1924,45,0,0,1,0,46,46
Assam,1923,33,0,0,0,0,33,33
Assam,1922,42,0,0,0,0,42,42
Assam,1921,70,0,0,0,0,70,70
Assam,1920,71,0,0,0,0,71,71
Assam,1919,31,0,0,1,0,32,32
Assam,1918,73,0,1,0,0,74,74
Assam,1917,25,0,0,0,0,25,25
Assam,1916,28,0,0,0,0,28,28
Assam,1915,31,0,0,0,0,31,31
Assam,1914,29,0,0,0,0,29,29
Assam,1913,24,0,0,0,0,24,24
Assam,1912,51,0,0,0,0,51,51
Assam,1911,21,0,0,0,0,21,21
Assam,1910,49,0,0,0,0,49,49
Assam,1909,19,1,0,0,0,20,20
Assam,1908,22,0,0,0,0,22,22
Assam,1907,26,0,0,0,0,26,26
Assam,1906,15,0,0,0,0,15,15
Assam,1905,54,0,0,0,0,54,54
Assam,1904,30,0,0,0,0,30,30
Assam,1903,39,0,0,0,0,39,39
Assam,1902,30,0,0,0,0,30,30
Assam,1901,70,0,0,0,0,70,70
Assam,1900,14,0,0,0,0,14,14
Assam,1899,10,0,0,0,0,10,10
Assam,1898,30,0,0,0,0,30,30
Assam,1897,29,0,0,0,0,29,29
Assam,1896,16,0,0,0,0,16,16
Assam,1895,31,0,0,0,0,31,31
Assam,1894,13,0,0,0,0,13,13
Assam,1893,8,0,0,1,1,10,10
Assam,1892,12,0,0,0,0,12,12
Assam,1891,12,0,0,0,0,12,12
Assam,1890,39,0,0,0,0,39,39
Assam,1889,19,0,0,0,0,19,19
Assam,1888,12,0,0,0,0,12,12
Assam,1887,22,0,0,0,0,22,22
Assam,1886,12,0,0,0,0,12,12
Assam,1885,43,0,0,0,0,43,43
Assam,1884,9,0,0,0,0,9,9
Assam,1883,15,0,0,0,0,15,15
Assam,1882,18,0,0,0,0,18,18
Assam,1881,10,0,0,0,0,10,10
Assam,1880,22,0,0,0,0,22,22
Assam,1879,7,0,0,0,0,7,7
Assam,1878,8,0,0,0,0,8,8
Assam,1877,2,0,0,0,0,2,2
Assam,1876,5,0,0,0,0,5,5
Assam,1875,9,0,0,0,0,9,9
Assam,1874,1,0,0,0,0,1,1
Assam,1873,1,0,0,0,0,1,1
Assam,1872,15,0,0,0,0,15,15
Assam,1871,9,0,0,0,0,9,9
Assam,1870,20,0,0,0,0,20,20
Assam,1869,6,0,0,0,0,6,6
Assam,1868,7,0,0,0,0,7,7
Assam,1867,2,0,0,0,0,2,2
Assam,1866,1,0,0,0,0,1,1
Assam,1865,5,0,0,0,0,5,5
Assam,1864,2,0,0,0,0,2,2
Assam,1863,2,0,0,0,0,2,2
Assam,1862,7,0,0,0,0,7,7
Assam,1861,3,0,0,0,0,3,3
Assam,1860,8,0,0,0,0,8,8
Assam,1859,1,0,0,0,0,1,1
Assam,1858,3,0,0,0,0,3,3
Assam,1857,1,0,0,0,0,1,1
Assam,1856,2,0,0,0,0,2,2
Assam,1855,3,0,0,0,0,3,3
Assam,1854,2,0,0,0,0,2,2
Assam,1853,2,0,0,0,0,2,2
Assam,1852,3,0,0,0,0,3,3
Assam,1851,1,0,0,0,0,1,1
Assam,1850,8,0,0,0,0,8,8
Assam,1849,1,0,0,0,0,1,1
Assam,1848,1,0,0,0,0,1,1
Assam,1846,0,0,0,1,0,1,1
Assam,1845,2,0,0,0,0,2,2
Assam,1843,1,0,0,0,0,1,1
Assam,1842,1,0,0,0,0,1,1
Assam,1840,6,0,0,0,0,6,6
Assam,1839,1,0,0,0,0,1,1
Assam,1836,8,0,0,0,0,8,8
Assam,1835,7,0,0,0,0,7,7
Assam,1834,3,0,0,0,0,3,3
Assam,1833,3,0,0,0,0,3,3
Assam,1832,1,0,0,0,0,1,1
Assam,1830,5,0,0,0,0,5,5
Assam,1829,1,0,0,0,0,1,1
Assam,1828,1,0,0,0,0,1,1
Assam,1826,2,0,0,0,0,2,2
Assam,1825,2,0,0,0,0,2,2
Assam,1823,1,0,0,0,0,1,1
Assam,1822,1,0,0,0,0,1,1
Assam,1821,1,0,0,0,0,1,1
Assam,1820,3,0,0,0,0,3,3
Assam,1817,1,0,0,0,0,1,1
Assam,1811,1,0,0,0,0,1,1
Assam,1808,1,0,0,0,0,1,1
Assam,1807,1,0,0,0,0,1,1
Assam,1804,1,0,0,0,0,1,1
Assam,1803,1,0,0,0,0,1,1
Assam,1802,2,0,0,0,0,2,2
Assam,1801,1,0,0,0,0,1,1
Assam,1800,1,0,0,0,0,1,1
Bihar,2022,3,0,0,10,2,15,15
Bihar,2021,86,0,2,31,6,125,125
Bihar,2020,2645,1,2,60,36,2744,2744
Bihar,2019,74,0,0,96,133,303,303
Bihar,2018,20,1,0,145,252,418,418
Bihar,2017,22,0,0,357,661,1040,1040
Bihar,2016,192,0,1,372,703,1268,1268
Bihar,2015,198,1,0,406,785,1390,1390
Bihar,2014,449,1,2,506,732,1690,1690
Bihar,2013,599,0,0,346,388,1333,1333
Bihar,2012,611,1,2,321,292,1227,1227
Bihar,2011,487,2,0,452,315,1256,1256
Bihar,2010,1647,3,1,411,367,2429,2429
Bihar,2009,409,0,0,279,182,870,870
Bihar,2008,403,1,1,318,188,911,911
Bihar,2007,6306,3,1,264,144,6718,6718
Bihar,2006,8133,2,1,166,118,8420,8420
Bihar,2005,195,2,1,227,142,567,567
Bihar,2004,84,6,0,162,103,355,355
Bihar,2003,414,7,0,158,90,669,669
Bihar,2002,282,0,0,164,109,555,555
Bihar,2001,337,1,0,168,131,637,637
